id,title,type,genres,averageRating,numVotes,releaseYear
tt3530232,"Last Week Tonight with John Oliver",tvSeries,"Comedy, News, Talk-Show",8.8,97222,2014
tt0112130,"Pride and Prejudice",tvMiniSeries,"Drama, Romance",8.8,94147,1995
tt0121220,"Dragon Ball Z",tvSeries,"Action, Adventure, Animation",8.8,90449,1989
tt10233448,"Vinland Saga",tvSeries,"Action, Adventure, Animation",8.8,83208,2019
tt0063929,"Monty Python's Flying Circus",tvSeries,Comedy,8.8,79753,1969
tt1910272,Steins;Gate,tvSeries,"Animation, Comedy, Drama",8.8,77125,2011
tt3718778,"Over the Garden Wall",tvMiniSeries,"Adventure, Animation, Comedy",8.8,74745,2014
tt0353049,"Chappelle's Show",tvSeries,"Comedy, Music",8.8,73175,2003
tt0096548,"Blackadder Goes Forth",tvSeries,"Comedy, War",8.8,57757,1989
tt15435876,"The Penguin",tvMiniSeries,"Crime, Drama",8.8,43581,2024
tt16026746,"X-Men '97",tvSeries,"Action, Adventure, Animation",8.8,36835,2024
tt0081834,"Das Boot",tvMiniSeries,"Drama, War",8.8,33917,1985
tt1795096,"Behzat Ç: An Ankara Detective Story",tvSeries,"Crime, Drama, Mystery",8.8,33480,2010
tt7927936,Flames,tvSeries,"Comedy, Drama, Romance",8.8,33038,2018
tt16492678,"Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc",movie,"Action, Animation, Fantasy",8.8,25831,2021
tt0253779,"The Foster Brothers",movie,Comedy,8.8,21357,1976
tt0074006,"I, Claudius",tvMiniSeries,"Biography, Drama, History",8.8,19806,1976
tt15295490,"Campus Diaries",tvSeries,"Comedy, Drama, Romance",8.8,17347,2022
tt0084302,"The Marathon Family",movie,"Comedy, Drama",8.8,17251,1982
tt10534500,#Home,movie,"Drama, Family",8.8,15980,2021
tt22727518,"Another Love",tvSeries,"Crime, Drama, Romance",8.8,15414,2023
tt9566030,"Pew News",tvSeries,"Comedy, News",8.8,14792,2018
tt0086935,"Balkan Spy",movie,"Comedy, Drama",8.8,12647,1984
tt6108262,"Black Sun",tvSeries,"Crime, Drama, Thriller",8.8,12615,2017
tt13661118,"Not Me",tvMiniSeries,"Action, Crime, Romance",8.8,12182,2021
tt0481256,"Fighting Spirit",tvSeries,"Action, Animation, Comedy",8.8,11233,2000
tt2077886,"The Phantom of the Opera at the Royal Albert Hall",movie,"Drama, Musical, Romance",8.8,10146,2011
tt0816692,Interstellar,movie,"Adventure, Drama, Sci-Fi",8.7,2179982,2014
tt0133093,"The Matrix",movie,"Action, Sci-Fi",8.7,2097953,1999
tt0080684,"Star Wars: Episode V - The Empire Strikes Back",movie,"Action, Adventure, Fantasy",8.7,1406556,1980
tt4574334,"Stranger Things",tvSeries,"Drama, Fantasy, Horror",8.7,1385625,2016
tt0099685,Goodfellas,movie,"Biography, Crime, Drama",8.7,1286037,1990
tt0073486,"One Flew Over the Cuckoo's Nest",movie,Drama,8.7,1090508,1975
tt1190634,"The Boys",tvSeries,"Action, Comedy, Crime",8.7,730549,2019
tt2085059,"Black Mirror",tvSeries,"Crime, Drama, Mystery",8.7,658382,2011
tt3581920,"The Last of Us",tvSeries,"Action, Adventure, Drama",8.7,573087,2023
tt0412142,House,tvSeries,"Drama, Mystery",8.7,534165,2004
tt2707408,Narcos,tvSeries,"Biography, Crime, Drama",8.7,482652,2015
tt5753856,Dark,tvSeries,"Crime, Drama, Mystery",8.7,464214,2017
tt0096697,"The Simpsons",tvSeries,"Animation, Comedy",8.7,443650,1989
tt0121955,"South Park",tvSeries,"Animation, Comedy",8.7,413225,1997
tt0367279,"Arrested Development",tvSeries,Comedy,8.7,328991,2003
tt0804503,"Mad Men",tvSeries,Drama,8.7,266715,2007
tt4236770,Yellowstone,tvSeries,"Drama, Western",8.7,236556,2018
tt1606375,"Downton Abbey",tvSeries,"Drama, Romance",8.7,229325,2010
tt11280740,Severance,tvSeries,"Drama, Mystery, Sci-Fi",8.7,224629,2022
tt15097216,"Jai Bhim",movie,"Crime, Drama, Mystery",8.7,220985,2021
tt6741278,Invincible,tvSeries,"Action, Adventure, Animation",8.7,219996,2021
tt5687612,Fleabag,tvSeries,"Comedy, Drama",8.7,213423,2016
tt4508902,"One Punch Man",tvSeries,"Action, Animation, Comedy",8.7,192675,2015
tt0384766,Rome,tvSeries,"Action, Drama, Romance",8.7,189669,2005
tt0988824,"Naruto: Shippuden",tvSeries,"Action, Adventure, Animation",8.7,181348,2007
tt0407362,"Battlestar Galactica",tvSeries,"Action, Adventure, Drama",8.7,178570,2004
tt5555260,"This Is Us",tvSeries,"Comedy, Drama, Romance",8.7,162955,2016
tt0248654,"Six Feet Under",tvSeries,"Comedy, Drama",8.7,153486,2001
tt5788792,"The Marvelous Mrs. Maisel",tvSeries,"Comedy, Drama",8.7,146406,2017
tt0092455,"Star Trek: The Next Generation",tvSeries,"Action, Adventure, Drama",8.7,139667,1987
tt1628033,"Top Gear",tvSeries,"Adventure, Sport, Talk-Show",8.7,129407,2002
tt10189514,"Soorarai Pottru",movie,Drama,8.7,125819,2020
tt13991232,1883,tvMiniSeries,"Drama, Western",8.7,123163,2021
tt0118421,Oz,tvSeries,"Crime, Drama, Thriller",8.7,108999,1997
tt9544034,"The Family Man",tvSeries,"Action, Comedy, Drama",8.7,101258,2019
tt0286486,"The Shield",tvSeries,"Crime, Drama, Thriller",8.7,90154,2002
tt5712554,"The Grand Tour",tvSeries,"Comedy, Sport, Talk-Show",8.7,87554,2016
tt0994314,"Code Geass",tvSeries,"Action, Animation, Drama",8.7,84565,2006
tt13309742,"Blue Eye Samurai",tvSeries,"Action, Adventure, Animation",8.7,78988,2023
tt0758745,"Friday Night Lights",tvSeries,"Drama, Sport",8.7,73887,2006
tt2303687,"Line of Duty",tvSeries,"Crime, Drama, Mystery",8.7,72598,2012
tt0387764,"Peep Show",tvSeries,Comedy,8.7,68070,2003
tt9263550,"Rocketry: The Nambi Effect",movie,"Biography, Drama",8.7,59750,2022
tt0318871,Berserk,tvSeries,"Action, Adventure, Animation",8.7,58566,1997
tt0434706,Monster,tvSeries,"Animation, Crime, Drama",8.7,49850,2004
tt10850932,"Crash Landing on You",tvSeries,"Adventure, Comedy, Drama",8.7,45424,2019
tt0111958,"Father Ted",tvSeries,Comedy,8.7,44661,1995
tt7466810,"777 Charlie",movie,"Adventure, Comedy, Drama",8.7,41665,2022
tt3398540,Haikyu!!,tvSeries,"Animation, Comedy, Drama",8.7,39278,2014
tt1534360,Ezel,tvSeries,"Crime, Drama, Thriller",8.7,38548,2009
tt7472896,"Mr Inbetween",tvSeries,"Crime, Drama",8.7,34535,2018
tt0459159,"The Thick of It",tvSeries,Comedy,8.7,26765,2005
tt0096639,"Lonesome Dove",tvMiniSeries,"Adventure, Drama, Western",8.7,26686,1989
tt0093603,Nayakan,movie,"Crime, Drama",8.7,25450,1987
tt0086661,"The Adventures of Sherlock Holmes",tvSeries,"Crime, Drama, Mystery",8.7,24722,1984
tt10332508,Primal,tvSeries,"Action, Adventure, Animation",8.7,22396,2019
tt0088178,"Stop Making Sense",movie,"Documentary, Music",8.7,21618,1984
tt28857177,"Lucky Guy",tvSeries,"Comedy, Drama, Fantasy",8.7,21486,2023
tt6025022,"Justice League Unlimited",tvSeries,"Action, Adventure, Animation",8.7,21345,2004
tt0252490,"The Chaos Class Is Waking Up",movie,Comedy,8.7,21183,1976
tt20859920,"Alchemy of Souls",tvSeries,"Action, Drama, Fantasy",8.7,19742,2022
tt8176054,"Pariyerum Perumal",movie,Drama,8.7,19016,2018
tt0253614,"Saban, Son of Saban",movie,Comedy,8.7,19012,1977
tt0252597,"Feyzo, the Polite One",movie,"Comedy, Drama",8.7,17637,1978
tt6019206,"Kill Bill: The Whole Bloody Affair",movie,"Action, Crime, Thriller",8.7,17452,2006
tt0080306,"Yes Minister",tvSeries,Comedy,8.7,16930,1980
tt0076276,"Who's Singin' Over There?",movie,"Adventure, Comedy, Drama",8.7,16917,1980
tt7738784,Peranbu,movie,"Drama, Family",8.7,16849,2018
tt14888874,"Demon Slayer: Kimetsu no Yaiba - Mt. Natagumo Arc",movie,"Action, Animation, Fantasy",8.7,16821,2020
tt0201368,"The Broken Landlord",movie,"Comedy, Drama",8.7,16669,1985
tt0988818,Gintama,tvSeries,"Action, Animation, Comedy",8.7,16373,2005
tt4063800,"The Bureau",tvSeries,"Drama, Thriller",8.7,14990,2015
tt0106028,"Homicide: Life on the Street",tvSeries,"Crime, Drama, Mystery",8.7,14971,1993
tt10801534,"How to with John Wilson",tvSeries,"Comedy, Documentary",8.7,14094,2020
tt17592606,Daman,movie,"Adventure, Drama",8.7,13791,2022
tt11007006,Azize,tvSeries,Drama,8.7,13741,2019
tt0090509,"The Return of Sherlock Holmes",tvSeries,"Crime, Drama, Mystery",8.7,13681,1986
tt0229889,"El Chavo del Ocho",tvSeries,"Comedy, Family",8.7,13489,1972
tt7621364,"Black Pearl",tvSeries,Drama,8.7,12985,2017
tt0214915,Manichithrathazhu,movie,"Comedy, Horror, Mystery",8.7,12901,1993
tt8737152,Toma,movie,"Biography, Drama, Music",8.7,12661,2021
tt6111552,"Content Cop",tvSeries,"Comedy, Crime, Talk-Show",8.7,12619,2015
tt0765833,"Happy Days",movie,"Comedy, Drama, Family",8.7,12152,1978
tt4269716,Umbre,tvSeries,"Crime, Drama, Thriller",8.7,11672,2014
tt7094780,"Mr. Sunshine",tvSeries,"Action, Drama, Romance",8.7,10997,2018
tt0090015,Shoah,movie,"Documentary, History, War",8.7,10780,1985
tt10554898,"The Untamed",tvSeries,"Action, Adventure, Drama",8.7,10573,2019
tt0114369,Se7en,movie,"Crime, Drama, Mystery",8.6,1845139,1995
tt0102926,"The Silence of the Lambs",movie,"Crime, Drama, Thriller",8.6,1585239,1991
tt0120815,"Saving Private Ryan",movie,"Drama, War",8.6,1527571,1998
tt0076759,"Star Wars: Episode IV - A New Hope",movie,"Action, Adventure, Fantasy",8.6,1475435,1977
tt0120689,"The Green Mile",movie,"Crime, Drama, Fantasy",8.6,1440433,1999
tt0103064,"Terminator 2: Judgment Day",movie,"Action, Adventure, Sci-Fi",8.6,1199152,1991
tt0245429,"Spirited Away",movie,"Adventure, Animation, Family",8.6,875629,2001
tt0317248,"City of God",movie,"Crime, Drama",8.6,816315,2002
tt0773262,Dexter,tvSeries,"Crime, Drama, Mystery",8.6,798698,2006
tt0118799,"Life Is Beautiful",movie,"Comedy, Drama, Romance",8.6,757111,1997
tt8111088,"The Mandalorian",tvSeries,"Action, Adventure, Fantasy",8.6,604254,2019
tt10811166,"The Kashmir Files",movie,Drama,8.6,575283,2022
tt1856010,"House of Cards",tvSeries,Drama,8.6,537642,2013
tt0038650,"It's a Wonderful Life",movie,"Drama, Family, Fantasy",8.6,507599,1946
tt3322312,Daredevil,tvSeries,"Action, Crime, Drama",8.6,484401,2015
tt9362722,"Spider-Man: Across the Spider-Verse",movie,"Action, Adventure, Animation",8.6,409709,2023
tt0047478,"Seven Samurai",movie,"Action, Drama",8.6,373683,1954
tt5290382,Mindhunter,tvSeries,"Crime, Drama, Mystery",8.6,350979,2017
tt1124373,"Sons of Anarchy",tvSeries,"Crime, Drama, Thriller",8.6,331025,2008
tt1266020,"Parks and Recreation",tvSeries,Comedy,8.6,294876,2009
tt4786824,"The Crown",tvSeries,"Biography, Drama, History",8.6,263240,2016
tt0106179,"The X-Files",tvSeries,"Adventure, Crime, Drama",8.6,255766,1993
tt14452776,"The Bear",tvSeries,"Comedy, Drama",8.6,250276,2022
tt0979432,"Boardwalk Empire",tvSeries,"Crime, Drama",8.6,206564,2010
tt2788316,Shogun,tvSeries,"Adventure, Drama, History",8.6,182486,2024
tt1486217,Archer,tvSeries,"Action, Animation, Comedy",8.6,168547,2009
tt9335498,"Demon Slayer: Kimetsu no Yaiba",tvSeries,"Action, Adventure, Animation",8.6,167852,2019
tt0096657,"Mr. Bean",tvSeries,"Comedy, Family",8.6,137365,1990
tt1870479,"The Newsroom",tvSeries,Drama,8.6,127009,2012
tt1489428,Justified,tvSeries,"Action, Crime, Drama",8.6,121637,2010
tt0348914,Deadwood,tvSeries,"Crime, Drama, History",8.6,120221,2004
tt1305826,"Adventure Time",tvSeries,"Action, Adventure, Animation",8.6,117042,2010
tt7908628,"What We Do in the Shadows",tvSeries,"Comedy, Fantasy, Horror",8.6,108525,2019
tt4288182,Atlanta,tvSeries,"Comedy, Drama, Music",8.6,90893,2016
tt9174558,Dopesick,tvMiniSeries,Drama,8.6,82083,2021
tt1733785,"The Bridge",tvSeries,"Crime, Mystery, Thriller",8.6,78389,2011
tt0056058,Harakiri,movie,"Action, Drama, Mystery",8.6,72588,1962
tt5421602,"Anne with an E",tvSeries,"Drama, Family",8.6,69617,2017
tt27719898,Kaiva,movie,"Action, Drama, Romance",8.6,68920,2023
tt4299972,"The Jinx: The Life and Deaths of Robert Durst",tvSeries,"Biography, Crime, Documentary",8.6,54344,2015
tt0094525,Poirot,tvSeries,"Crime, Drama, Mystery",8.6,53569,1989
tt0088484,"Blackadder II",tvSeries,Comedy,8.6,50683,1986
tt5897304,"Mob Psycho 100",tvSeries,"Action, Animation, Comedy",8.6,49486,2016
tt0092324,"Blackadder the Third",tvSeries,Comedy,8.6,47764,1987
tt2100976,"Impractical Jokers",tvSeries,"Comedy, Reality-TV",8.6,47066,2011
tt1641384,"Young Justice",tvSeries,"Action, Adventure, Animation",8.6,46684,2010
tt2049116,Gomorrah,tvSeries,"Crime, Drama, Thriller",8.6,45554,2014
tt13111040,"The Offer",tvMiniSeries,"Biography, Crime, Drama",8.6,42485,2022
tt5288312,Skam,tvSeries,"Drama, Romance",8.6,39580,2015
tt11854694,"Special OPS",tvSeries,"Action, Crime, Thriller",8.6,38136,2020
tt9140342,"It's a Sin",tvMiniSeries,"Comedy, Drama, History",8.6,37855,2021
tt12451520,"It's Okay to Not Be Okay",tvSeries,"Comedy, Drama, Romance",8.6,37363,2020
tt0053488,"The Bugs Bunny Show",tvSeries,"Animation, Comedy",8.6,36151,1960
tt0417349,"North & South",tvMiniSeries,"Drama, Romance",8.6,35602,2004
tt2701582,Endeavour,tvSeries,"Crime, Drama, Mystery",8.6,34502,2012
tt0380136,QI,tvSeries,"Comedy, Game-Show",8.6,34012,2003
tt7562112,Pose,tvSeries,Drama,8.6,33684,2018
tt1983079,"Call the Midwife",tvSeries,"Drama, History",8.6,32437,2012
tt4647692,Letterkenny,tvSeries,Comedy,8.6,30814,2016
tt5994364,"Guardian: The Lonely and Great God",tvSeries,"Comedy, Drama, Fantasy",8.6,30201,2016
tt20869502,"Extraordinary Attorney Woo",tvSeries,Drama,8.6,29363,2022
tt0417373,"The Venture Bros.",tvSeries,"Action, Adventure, Animation",8.6,28564,2003
tt4156586,"Permanent Roommates",tvSeries,"Comedy, Romance",8.6,26501,2014
tt0094517,"Mystery Science Theater 3000",tvSeries,"Comedy, Sci-Fi",8.6,26148,1988
tt0367495,"Anbe Sivam",movie,"Adventure, Comedy, Drama",8.6,26050,2003
tt2433738,Wentworth,tvSeries,"Crime, Drama, Thriller",8.6,25299,2013
tt21056886,"Scavengers Reign",tvSeries,"Adventure, Animation, Drama",8.6,23568,2023
tt2244495,"The Eric Andre Show",tvSeries,"Comedy, Talk-Show",8.6,22319,2012
tt0129690,"I'm Alan Partridge",tvSeries,Comedy,8.6,22298,1997
tt4082744,Detectorists,tvSeries,Comedy,8.6,22281,2014
tt0421291,"Avrupa Yakasi",tvSeries,Comedy,8.6,21854,2004
tt2311418,"Isler Güçler",tvSeries,Comedy,8.6,21486,2012
tt8050756,"The Owl House",tvSeries,"Action, Adventure, Animation",8.6,20984,2020
tt0358456,Earthlings,movie,Documentary,8.6,19967,2005
tt0252489,"The Chaos Class Is on Vacation",movie,Comedy,8.6,19126,1977
tt7278862,"My Brilliant Friend",tvSeries,Drama,8.6,18964,2018
tt0310455,"Foyle's War",tvSeries,"Crime, Drama, Mystery",8.6,18825,2002
tt1513168,"Through the Wormhole",tvSeries,Documentary,8.6,18552,2010
tt0116860,"Pretty Village, Pretty Flame",movie,"Drama, History, War",8.6,18039,1996
tt10590066,"All Creatures Great & Small",tvSeries,"Comedy, Drama",8.6,17989,2020
tt9814458,"Bandish Bandits",tvSeries,"Drama, Music, Romance",8.6,17860,2020
tt0271383,"A Dog's Will",movie,"Comedy, Drama, Fantasy",8.6,17518,2000
tt3671754,"Kardes Payi",tvSeries,"Comedy, Drama, Family",8.6,17441,2014
tt0203082,"Rurouni Kenshin: Trust and Betrayal",tvMiniSeries,"Action, Adventure, Animation",8.6,16590,1999
tt0403778,"Long Way Round",tvMiniSeries,"Adventure, Documentary",8.6,15524,2004
tt17513352,"Twenty Five Twenty One",tvSeries,"Drama, Romance",8.6,15371,2022
tt15614372,"Tear Along the Dotted Line",tvMiniSeries,"Animation, Comedy, Drama",8.6,15132,2021
tt6385540,Hilda,tvSeries,"Adventure, Animation, Drama",8.6,14450,2018
tt0120570,"From the Earth to the Moon",tvMiniSeries,"Action, Drama, History",8.6,13471,1998
tt1877368,"The Great British Baking Show",tvSeries,"Game-Show, Reality-TV",8.6,13270,2010
tt0086831,"Yes, Prime Minister",tvSeries,Comedy,8.6,13260,1986
tt13634792,Mouse,tvSeries,"Action, Crime, Mystery",8.6,12385,2021
tt5320412,"Moon Lovers: Scarlet Heart Ryeo",tvSeries,"Action, Drama, Fantasy",8.6,12283,2016
tt0118273,"Brass Eye",tvSeries,Comedy,8.6,11746,1997
tt13400006,"Mr. Queen",tvSeries,"Comedy, Fantasy, Romance",8.6,11700,2020
tt9103932,"Greatest Events of WWII in Colour",tvMiniSeries,"Documentary, History, War",8.6,11343,2019
tt4139928,"The Legend of Maula Jatt",movie,"Action, Drama, Fantasy",8.6,10851,2022
tt0267351,"My Dear Brother",movie,Drama,8.6,10475,1973
tt8254348,ImMATURE,tvSeries,"Comedy, Drama, Romance",8.6,10468,2019
tt31862849,"Very Parivarik",tvSeries,Comedy,8.6,10208,2024
tt4580372,Merlí,tvSeries,"Comedy, Drama, Romance",8.6,10189,2015
